ï»¿Quality	#1 ID	#2 ID	#1 String	#2 String
1	702876	702977	Amrozi accused his brother , whom he called <QUOTE> the witness <QUOTE> , of deliberately distorting his evidence .	Referring to him as only <QUOTE> the witness <QUOTE> , Amrozi accused his brother of deliberately distorting his evidence .
0	2108705	2108831	Yucaipa owned Dominick 's before selling the chain to Safeway in 1998 for $ 2.5 billion .	Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .
1	1330381	1330521	They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .	On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .
0	3344667	3344648	Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 .	Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .
1	1236820	1236712	The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .	PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .
1	738533	737951	Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .	With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .
0	264589	264502	The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .	The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .
1	579975	579810	The DVD-CCA then appealed to the state Supreme Court .	The DVD CCA appealed that decision to the U.S. Supreme Court .
0	3114205	3114194	That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .	Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .
1	1355540	1355592	He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .	<QUOTE> The foodservice pie business does not fit our long-term growth strategy .
0	222621	222514	Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent .	Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .
0	3131772	3131625	Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March .	Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .
0	58747	58516	The Nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 .	The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .
1	1464126	1464107	But he added group performance would improve in the second half of the year and beyond .	De Sole said in the results statement that group performance would improve in the second half of the year and beyond .
1	771416	771467	He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .	<QUOTE> Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , <QUOTE> he told The Sun .
